BibTeX;Style;Referenzstring
"@Inproceedings{Juby2008INTEGRATINGDW,
 author = {G. Juby and Don W. Zylstra and Susanna Li and Perry R. Louck and B. Mortazavi},
 pages = {475-487},
 title = {INTEGRATING DEMINERALIZATION WITH WASTEWATER TREATMENT TO GENERATE NUTRIENT RICH RECYCLED WATER FOR SUSTAINABLEAGRICULTURAL USE},
 volume = {2008},
 year = {2008}
}
";plain;"G. Juby, Don W. Zylstra, Susanna Li, Perry R. Louck, and B. Mortazavi. INTEGRATING DEMINERALIZATION WITH WASTEWATER TREATMENT TO GENERATE NUTRIENT RICH RECYCLED WATER FOR SUSTAINABLEAGRICULTURAL USE. 2008.
"
"@Article{Li2017ComprehensivePE,
 author = {Zhaofu Li and Chuan Luo and K. Jiang and R. Wan and Hengpeng Li},
 booktitle = {International Journal of Environmental Research and Public Health},
 journal = {International Journal of Environmental Research and Public Health},
 title = {Comprehensive Performance Evaluation for Hydrological and Nutrients Simulation Using the Hydrological Simulation Program–Fortran in a Mesoscale Monsoon Watershed, China},
 volume = {14},
 year = {2017}
}
";plain;"Zhaofu Li, Chuan Luo, K. Jiang, R. Wan, and Hengpeng Li. Comprehensive performance evaluation for hydrological and nutrients simulation using the hydrological simulation program–fortran in a mesoscale monsoon watershed, china. International Journal of Environmental Research and Public Health, 2017.
"
"@Inproceedings{Fung1998CONSTANTEI,
 author = {L. Fung and A. Atala},
 title = {CONSTANT ELEVATION IN RENAL PELVIC PRESSURE INDUCES AN NONOBSTRUCTIVE PORCINE MODEL INCREASE IN URINARY N-ACETYL-6-D-GLUCOSAMINIDASE IN A},
 year = {1998}
}
";plain;"L. Fung and A. Atala. CONSTANT ELEVATION IN RENAL PELVIC PRESSURE INDUCES AN NONOBSTRUCTIVE PORCINE MODEL INCREASE IN URINARY N-ACETYL-6-D-GLUCOSAMINIDASE IN A. 1998.
"
"@Article{Xia2008StructuralFO,
 author = {W. Xia and Shuyou Liu and Wenqing Zhang and G. Luo},
 booktitle = {Journal of Asian natural products research},
 journal = {Journal of Asian Natural Products Research},
 pages = {857 - 865},
 title = {Structural features of a pectic polysaccharide from mulberry leaves},
 volume = {10},
 year = {2008}
}
";plain;"W. Xia, Shuyou Liu, Wenqing Zhang, and G. Luo. Structural features of a pectic polysaccharide from mulberry leaves. Journal of Asian Natural Products Research, 10:857 - 865, 2008.
"
"@Article{Trang2023HollowArchitectedHC,
 author = {Tran Doan Trang and Jia-Yin Lin and Hou-Chien Chang and N. Huy and Suresh Ghotekar and K. Lin and Venkata Subbaiah Munagapati and Y. F. Yee and Yi-Feng Lin},
 booktitle = {Nanomaterials},
 journal = {Nanomaterials},
 title = {Hollow-Architected Heteroatom-Doped Carbon-Supported Nanoscale Cu/Co as an Enhanced Magnetic Activator for Oxone to Degrade Toxicants in Water},
 volume = {13},
 year = {2023}
}
";plain;"Tran Doan Trang, Jia-Yin Lin, Hou-Chien Chang, N. Huy, Suresh Ghotekar, K. Lin, Venkata Subbaiah Munagapati, Y. F. Yee, and Yi-Feng Lin. Hollow-architected heteroatom-doped carbon-supported nanoscale cu/co as an enhanced magnetic activator for oxone to degrade toxicants in water. Nanomaterials, 2023.
"
"@Inproceedings{Priyadarshi2005GroundwaterCF,
 author = {Nitish Priyadarshi},
 title = {Groundwater Contamination from Runoff},
 year = {2005}
}
";plain;"Nitish Priyadarshi. Groundwater Contamination from Runoff. 2005.
"
"@Inproceedings{Miao2021StudyOR,
 author = {He Miao and Shi Haohan and Xu Mingbiao},
 pages = {271-279},
 title = {Study of Rheological Dynamics of Water-Based Drilling Fluids at High Temperature and High Pressure},
 volume = {38},
 year = {2021}
}
";plain;"He Miao, Shi Haohan, and Xu Mingbiao. Study of Rheological Dynamics of Water-Based Drilling Fluids at High Temperature and High Pressure. 2021.
"
"@Article{Berthelot1994EvaluationOB,
 author = {B. Berthelot and P. Deschamps},
 journal = {Journal of Geophysical Research},
 pages = {7979-7989},
 title = {Evaluation of bio‐optical algorithms to remotely sense marine primary production from space},
 volume = {99},
 year = {1994}
}
";plain;"B. Berthelot and P. Deschamps. Evaluation of bio‐optical algorithms to remotely sense marine primary production from space. Journal of Geophysical Research, 99:7979-7989, 1994.
"
"@Inproceedings{王振宇.2015SpecialVC,
 author = {王振宇. and 左春洋 and 王路 and 李玮},
 title = {Special vitamin casein solid beverage for astronauts and preparation method of beverage},
 year = {2015}
}
";plain;"王振宇., 左春洋, 王路, and 李玮. Special vitamin casein solid beverage for astronauts and preparation method of beverage. 2015.
"
"@Article{Shivayogimath2019DoItYourselfTO,
 author = {A. Shivayogimath and P. R. Whelan and D. Mackenzie and Birong Luo and Deping Huang and D. Luo and Meihui Wang and L. Gammelgaard and Haofei Shi and R. Ruoff and P. Bøggild and T. Booth},
 booktitle = {Chemistry of Materials},
 journal = {Chemistry of Materials},
 title = {Do-It-Yourself Transfer of Large-Area Graphene Using an Office Laminator and Water},
 year = {2019}
}
";plain;"A. Shivayogimath, P. R. Whelan, D. Mackenzie, Birong Luo, Deping Huang, D. Luo, Meihui Wang, L. Gammelgaard, Haofei Shi, R. Ruoff, P. Bøggild, and T. Booth. Do-it-yourself transfer of large-area graphene using an office laminator and water. Chemistry of Materials, 2019.
"
"@Conference{Zhou2020FaultDA,
 author = {Shengbo Zhou and Bingxian Li and Bin Wang},
 booktitle = {2020 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA)},
 journal = {2020 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA)},
 pages = {145-149},
 title = {Fault diagnosis and analysis of water temperature sensor},
 year = {2020}
}
";plain;"Shengbo Zhou, Bingxian Li, and Bin Wang. Fault diagnosis and analysis of water temperature sensor. In 2020 IEEE International Conference on Artificial Intelligence and Computer Applications (ICAICA), 145-149. 2020.
"
"@Inproceedings{Hansson2020TheIO,
 author = {N. Hansson},
 title = {The Influence of Hydrogen on the Radiolytic Oxidation of UO2},
 year = {2020}
}
";plain;"N. Hansson. The Influence of Hydrogen on the Radiolytic Oxidation of UO2. 2020.
"
"@Article{Shahvar2011RoleOA,
 author = {M. Shahvar},
 journal = {GeoArabia, Journal of the Middle East Petroleum Geosciences},
 title = {Role of artificial intelligence in different stages from advanced petrophysical reservoir characterization process: Case study of Iranian carbonate reservoirs. 9th Middle East Geosciences Conference, GEO 2010.},
 volume = {16},
 year = {2011}
}
";plain;"M. Shahvar. Role of artificial intelligence in different stages from advanced petrophysical reservoir characterization process: case study of iranian carbonate reservoirs. 9th middle east geosciences conference, geo 2010. GeoArabia, Journal of the Middle East Petroleum Geosciences, 2011.
"
"@Article{Lal1950StudiesIC,
 author = {K. Lal and O. Mehrotra},
 booktitle = {Proceedings / Indian Academy of Sciences},
 journal = {Proceedings of the Indian Academy of Sciences - Section B},
 pages = {252-268},
 title = {Studies in crop physiology},
 volume = {32},
 year = {1950}
}
";plain;"K. Lal and O. Mehrotra. Studies in crop physiology. Proceedings of the Indian Academy of Sciences - Section B, 32:252-268, 1950.
"
"@Conference{Bai2013InverterIL,
 author = {Baodong Bai and C. Dezhi},
 booktitle = {International Conference on Industrial Technology},
 journal = {2013 IEEE International Conference on Industrial Technology (ICIT)},
 pages = {563-569},
 title = {Inverter IGBT loss analysis and calculation},
 year = {2013}
}
";plain;"Baodong Bai and C. Dezhi. Inverter igbt loss analysis and calculation. In International Conference on Industrial Technology, 563-569. 2013.
"
"@Article{Haddad2000ECONOMICIF,
 author = {B. Haddad},
 journal = {JAWRA Journal of the American Water Resources Association},
 title = {ECONOMIC INCENTIVES FOR WATER CONSERVATION ON THE MONTEREY PENINSULA: THE MARKET PROPOSAL 1},
 volume = {36},
 year = {2000}
}
";plain;"B. Haddad. Economic incentives for water conservation on the monterey peninsula: the market proposal 1. JAWRA Journal of the American Water Resources Association, 2000.
"
"@Article{Fang2003ResearchOC,
 author = {Wu Fang},
 journal = {Journal of Chongqing Architecture University},
 title = {Research on Controlling Plastic Shrinkage Cracking of Superfine Sand Concrete by adding Polypropylene Fibers},
 year = {2003}
}
";plain;"Wu Fang. Research on controlling plastic shrinkage cracking of superfine sand concrete by adding polypropylene fibers. Journal of Chongqing Architecture University, 2003.
"
"@Inproceedings{Pivovar2012DecompositionPO,
 author = {B. Pivovar and Joseph B. Edson and Clay S. Macomber and H. Long and J. Boncella},
 title = {Decomposition Pathways of Tetraalkylammonium Hydroxides: Experimental and DFT Studies and Their Implications for Alkaline Exchange Fuel Cell Membranes},
 year = {2012}
}
";plain;"B. Pivovar, Joseph B. Edson, Clay S. Macomber, H. Long, and J. Boncella. Decomposition Pathways of Tetraalkylammonium Hydroxides: Experimental and DFT Studies and Their Implications for Alkaline Exchange Fuel Cell Membranes. 2012.
"
"@Inproceedings{Molina1998LaboratorySO,
 author = {M. Molina and M. Haider and Y. Mantz and L. Gutzwiller and L. Molina},
 title = {Laboratory studies of the stratospheric effects of rocket exhaust. Final technical report, 1 Jan 1996--31 December 1998},
 year = {1998}
}
";plain;"M. Molina, M. Haider, Y. Mantz, L. Gutzwiller, and L. Molina. Laboratory studies of the stratospheric effects of rocket exhaust. Final technical report, 1 Jan 1996–31 December 1998. 1998.
"
"@Inproceedings{Greenwood1963WaterRA,
 author = {N. Greenwood},
 title = {Water resources and irrigation potential of the RSFSR},
 year = {1963}
}
";plain;"N. Greenwood. Water resources and irrigation potential of the RSFSR. 1963.
"
"@Article{Rong-fa2006ImpactsOD,
 author = {Guo Rong-fa},
 journal = {Guangdong Agricultural Sciences},
 title = {Impacts of different water-saving irrigation technologies on the orchard ecology and roots growth of Hongjiang orange},
 year = {2006}
}
";plain;"Guo Rong-fa. Impacts of different water-saving irrigation technologies on the orchard ecology and roots growth of hongjiang orange. Guangdong Agricultural Sciences, 2006.
"
"@Inproceedings{Al-Obaidi2017EffectOD,
 author = {A. Al-Obaidi},
 pages = {46-52},
 title = {Effect of Different Chromium Picolinate Levels as Feed Additives on Quail Meat Characteristics},
 volume = {30},
 year = {2017}
}
";plain;"A. Al-Obaidi. Effect of Different Chromium Picolinate Levels as Feed Additives on Quail Meat Characteristics. 2017.
"
"@Inproceedings{CHENSiqing2003CharacterizationOL,
 author = {CHENSiqing and LIUJiyuan and ZHUANGDafang and XIAOXiangming},
 pages = {131-138},
 title = {Characterization of land cover types in Xilin River Basion using multi—temporal Landsat images},
 volume = {13},
 year = {2003}
}
";plain;"CHENSiqing, LIUJiyuan, ZHUANGDafang, and XIAOXiangming. Characterization of land cover types in Xilin River Basion using multi—temporal Landsat images. 2003.
"
"@Article{Sharma2017GeneticDI,
 author = {D. Sharma},
 journal = {International Journal of Pure & Applied Bioscience},
 pages = {491-496},
 title = {Genetic Diversity in Cowpea [Vigna unguiculata (L.) Walp.] Accessions using Protein Profiling},
 volume = {5},
 year = {2017}
}
";plain;"D. Sharma. Genetic diversity in cowpea [vigna unguiculata (l.) walp.] accessions using protein profiling. International Journal of Pure & Applied Bioscience, 5:491-496, 2017.
"
"@Article{Engberts1992CarbonylSF,
 author = {J. Engberts and A. Perjéssy and M. J. Blandamer and G. Eaton},
 journal = {Journal of the Chemical Society, Faraday Transactions},
 pages = {2493-2495},
 title = {Carbonyl stretching frequency characteristics for the strongly hydrophobic solute, N-cyclohexyl-2-pyrrolidone in binary aqueous mixtures at 298.15 K. Evidence for a two-domain model for 2-butoxyethanol–water mixtures},
 volume = {88},
 year = {1992}
}
";plain;"J. Engberts, A. Perjéssy, M. J. Blandamer, and G. Eaton. Carbonyl stretching frequency characteristics for the strongly hydrophobic solute, n-cyclohexyl-2-pyrrolidone in binary aqueous mixtures at 298.15 k. evidence for a two-domain model for 2-butoxyethanol–water mixtures. Journal of the Chemical Society, Faraday Transactions, 88:2493-2495, 1992.
"
"@Article{Alizadeh2008SandwichtypeUO,
 author = {M. Alizadeh and M. Mohadeszadeh},
 journal = {Journal of Cluster Science},
 pages = {435-443},
 title = {Sandwich-type Uranium-Substituted of Bismuthotungstate: Synthesis and Structure Determination of [Na(UO2)2(H2O)4(BiW9O33)2]13−},
 volume = {19},
 year = {2008}
}
";plain;"M. Alizadeh and M. Mohadeszadeh. Sandwich-type uranium-substituted of bismuthotungstate: synthesis and structure determination of [na(uo2)2(h2o)4(biw9o33)2]13−. Journal of Cluster Science, 19:435-443, 2008.
"
"@Article{Considine1996ASM,
 author = {G. Considine and J. Curry},
 journal = {Quarterly Journal of the Royal Meteorological Society},
 pages = {611-634},
 title = {A statistical model of drop‐size spectra for stratocumulus clouds},
 volume = {122},
 year = {1996}
}
";plain;"G. Considine and J. Curry. A statistical model of drop‐size spectra for stratocumulus clouds. Quarterly Journal of the Royal Meteorological Society, 122:611-634, 1996.
"
"@Inproceedings{Jeon2010CharacteristicsOM,
 author = {Byung-Il Jeon and Y. Hwang and K. Oh},
 pages = {323-333},
 title = {Characteristics of Metallic and Ionic Concentration in $PM_{10}$ at Inland and Seashore in Busan},
 volume = {19},
 year = {2010}
}
";plain;"Byung-Il Jeon, Y. Hwang, and K. Oh. Characteristics of Metallic and Ionic Concentration in $PM_10$ at Inland and Seashore in Busan. 2010.
"
"@Inproceedings{Baker1980EvaluationOI,
 author = {J. R. Baker and L. J. Paulson},
 title = {Evaluation of impacts associated with reregulation of water levels in Lake Mohave. Technical report no. 4 (final)},
 year = {1980}
}
";plain;"J. R. Baker and L. J. Paulson. Evaluation of impacts associated with reregulation of water levels in Lake Mohave. Technical report no. 4 (final). 1980.
"
"@Inproceedings{Léveillé2011FiltrationMA,
 author = {S. Léveillé},
 title = {Filtration membranaire avec haute concentration de charbon actif en poudre pour le traitement des eaux de surface},
 year = {2011}
}
";plain;"S. Léveillé. Filtration membranaire avec haute concentration de charbon actif en poudre pour le traitement des eaux de surface. 2011.
"
"@Inproceedings{Biebow2003WaterCA,
 author = {N. Biebow and R. Kulinich and B. Baranov},
 title = {Water content and density of sediment core LV29-70-2},
 year = {2003}
}
";plain;"N. Biebow, R. Kulinich, and B. Baranov. Water content and density of sediment core LV29-70-2. 2003.
"
"@Article{Gu2020SoilHC,
 author = {X. Gu and H. Cai and Heng Fang and Pengpeng Chen and Yupeng Li and Yuan-Nong Li},
 journal = {Agricultural Water Management},
 pages = {106560},
 title = {Soil hydro-thermal characteristics, maize yield and water use efficiency as affected by different biodegradable film mulching patterns in a rain-fed semi-arid area of China},
 year = {2020}
}
";plain;"X. Gu, H. Cai, Heng Fang, Pengpeng Chen, Yupeng Li, and Yuan-Nong Li. Soil hydro-thermal characteristics, maize yield and water use efficiency as affected by different biodegradable film mulching patterns in a rain-fed semi-arid area of china. Agricultural Water Management, pages 106560, 2020.
"
